price,minimum_nights,host_id,neighbourhood_group,room_type,number_of_reviews,reviews_per_month,availability_365,longitude,latitude
149,1,2787,Brooklyn,Private room,9,0.21,365,-73.97237,40.64749
225,1,2845,Manhattan,Entire home/apt,45,0.38,355,-73.98377,40.75362
89,1,4869,Brooklyn,Entire home/apt,270,4.64,194,-73.95976,40.68514
200,3,7322,Manhattan,Entire home/apt,74,0.59,129,-73.975,40.74767
79,2,8967,Manhattan,Private room,430,3.47,220,-73.98493,40.76489
79,2,7490,Manhattan,Private room,118,0.99,0,-73.96723,40.80178
150,1,7549,Manhattan,Entire home/apt,160,1.33,188,-73.99037,40.71344
135,5,7702,Manhattan,Entire home/apt,53,0.43,6,-73.96545,40.80316
85,2,7989,Manhattan,Private room,188,1.5,39,-73.98867,40.76076
89,4,9744,Brooklyn,Private room,167,1.34,314,-73.98779,40.66829
85,2,11528,Manhattan,Private room,113,0.91,333,-73.96113,40.79826
140,2,15991,Brooklyn,Entire home/apt,148,1.2,46,-73.95352,40.70837
215,2,17571,Brooklyn,Entire home/apt,198,1.72,321,-73.97185,40.69169
140,1,18946,Manhattan,Private room,260,2.12,12,-73.99501,40.74192
99,3,20950,Brooklyn,Entire home/apt,53,4.44,21,-73.94694,40.67592
299,3,21207,Brooklyn,Entire home/apt,9,0.07,0,-73.95718,40.71842
130,2,22486,Brooklyn,Private room,130,1.09,347,-73.97706,40.68069
80,1,22486,Brooklyn,Private room,39,0.37,364,-73.97798,40.67989
110,2,22486,Brooklyn,Private room,71,0.61,304,-73.97865,40.68001
120,2,25183,Brooklyn,Entire home/apt,88,0.73,233,-73.94028,40.68371
60,1,25326,Brooklyn,Private room,19,1.37,85,-73.97519,40.65599
44,3,31374,Manhattan,Private room,108,1.11,311,-73.92106,40.86482
50,3,32294,Manhattan,Private room,242,2.04,355,-73.95104,40.82245
52,2,32045,Manhattan,Private room,88,1.42,255,-73.95466,40.81305
55,4,32169,Brooklyn,Private room,197,1.65,284,-73.93762,40.72219
50,3,32294,Manhattan,Private room,273,2.37,359,-73.95318,40.8213
70,1,35935,Brooklyn,Private room,74,0.66,269,-73.95473,40.6831
89,4,9744,Brooklyn,Private room,168,1.41,340,-73.9878,40.66869
85,2,44145,Brooklyn,Entire home/apt,231,1.96,22,-73.92745,40.70186
40,1,7549,Manhattan,Shared room,214,1.81,188,-73.98917,40.71401
68,2,46978,Manhattan,Private room,245,2.08,96,-73.98199,40.7229
120,3,47610,Brooklyn,Entire home/apt,15,0.39,345,-73.97966,40.66278
120,7,47618,Brooklyn,Private room,25,0.23,311,-73.97584,40.69673
135,4,16800,Manhattan,Private room,81,0.69,273,-73.97927,40.79009
150,7,47727,Manhattan,Entire home/apt,97,0.84,309,-73.94478,40.81175
130,3,50124,Queens,Private room,248,2.25,215,-73.9474,40.74771
110,7,50148,Brooklyn,Entire home/apt,61,0.52,265,-73.95591,40.68111
115,3,50846,Brooklyn,Entire home/apt,11,0.1,0,-73.9409,40.68554
80,3,52335,Brooklyn,Private room,135,1.16,192,-73.97376,40.69142
80,1,54275,Brooklyn,Private room,112,1.01,251,-73.93934,40.68043
151,2,56094,Manhattan,Entire home/apt,73,0.63,302,-73.97008,40.78635
228,3,56104,Brooklyn,Entire home/apt,82,0.7,140,-73.9356,40.7042
144,2,56246,Brooklyn,Entire home/apt,328,2.82,234,-73.95392,40.73506
200,7,56284,Manhattan,Entire home/apt,19,0.22,257,-73.98074,40.73961
110,5,59023,Manhattan,Private room,19,0.17,301,-73.99104,40.72004
69,2,59734,Manhattan,Private room,289,2.49,294,-73.99293,40.75531
49,4,32169,Brooklyn,Private room,138,1.19,320,-73.93788,40.72401
80,2,60252,Brooklyn,Private room,42,0.38,263,-73.96204,40.71185
250,2,61491,Manhattan,Entire home/apt,66,0.57,231,-73.95269,40.77065
55,7,63613,Brooklyn,Private room,27,0.23,292,-73.96788,40.69
225,3,64056,Brooklyn,Entire home/apt,4,0.16,0,-73.98338,40.67343
80,1,64442,Manhattan,Private room,338,4.72,72,-73.97904,40.72649
275,1,64522,Brooklyn,Entire home/apt,148,1.4,362,-73.96792,40.70933
99,1,4396,Manhattan,Private room,106,1.26,336,-73.98474,40.72298
225,4,65837,Manhattan,Entire home/apt,190,1.64,215,-73.93922,40.80164
51,7,66243,Manhattan,Private room,23,0.43,88,-73.98865,40.76342
65,2,68428,Manhattan,Private room,49,1.6,336,-73.94095,40.83139
105,2,68599,Brooklyn,Private room,105,0.92,304,-73.96374,40.68346
190,5,69829,Manhattan,Entire home/apt,21,0.2,224,-73.98801,40.72828
200,1,69942,Manhattan,Private room,142,1.5,322,-73.95058,40.76865
95,3,71512,Brooklyn,Private room,143,1.28,132,-73.97267,40.6932
150,3,71876,Manhattan,Private room,167,1.65,295,-74.00197,40.74138
145,3,72014,Brooklyn,Private room,61,0.54,238,-73.96112,40.71154
285,5,73128,Manhattan,Entire home/apt,70,0.62,328,-73.98892,40.71851
130,6,73469,Brooklyn,Entire home/apt,16,0.15,38,-73.96323,40.65401
800,1,74303,Brooklyn,Entire home/apt,25,0.24,7,-73.99268,40.69723
105,3,74857,Brooklyn,Entire home/apt,61,0.53,272,-73.95748,40.71833
60,3,62407,Manhattan,Private room,194,1.73,26,-73.9844,40.72334
50,1,76627,Manhattan,Private room,2,0.05,0,-73.98057,40.72912
85,3,72014,Brooklyn,Private room,174,1.54,288,-73.96218,40.71156
65,4,961342,Brooklyn,Private room,24,0.28,317,-73.9383,40.70032
131,4,78460,Brooklyn,Entire home/apt,166,3.4,207,-73.97261,40.68233
98,7,51038,Brooklyn,Private room,16,0.2,185,-73.966,40.68634
250,7,79070,Brooklyn,Entire home/apt,21,0.3,158,-73.97162,40.68035
100,5,79402,Brooklyn,Entire home/apt,168,1.57,0,-73.95775,40.70984
105,3,44145,Brooklyn,Entire home/apt,118,1.05,9,-73.92609,40.70093
140,3,42032,Manhattan,Entire home/apt,81,0.71,198,-73.96177,40.79764
89,1,82685,Manhattan,Private room,1,0.11,365,-73.94731,40.82803
125,7,87773,Brooklyn,Entire home/apt,139,1.23,311,-73.92357,40.68413
60,3,32294,Manhattan,Private room,11,0.87,219,-73.95139,40.82279
175,2,11481,Brooklyn,Entire home/apt,233,2.09,342,-74.00154,40.67967
65,2,63318,Manhattan,Private room,68,0.6,312,-73.94281,40.83927
500,4,93790,Manhattan,Entire home/apt,46,0.55,243,-74.00319,40.73096
101,3,97219,Brooklyn,Private room,335,3.02,152,-73.94177,40.71332
100,2,107628,Manhattan,Private room,170,1.61,346,-73.94421,40.8092
59,2,59734,Manhattan,Private room,334,3.0,279,-73.99291,40.75527
125,2,51038,Brooklyn,Private room,19,0.2,250,-73.96572,40.68698
140,7,112793,Manhattan,Entire home/apt,12,0.13,164,-73.98192,40.7288
350,2,72062,Manhattan,Entire home/apt,7,0.06,298,-73.98157,40.7254
199,5,115157,Manhattan,Entire home/apt,38,0.38,260,-73.98009,40.74294
325,3,115307,Brooklyn,Entire home/apt,324,3.01,107,-73.95748,40.71942
235,6,115560,Manhattan,Entire home/apt,27,0.27,199,-73.97637,40.77823
225,1,72062,Manhattan,Entire home/apt,115,1.05,299,-73.97965,40.72555
99,2,118971,Brooklyn,Private room,354,3.2,20,-73.98604,40.66831
170,2,119510,Manhattan,Entire home/apt,195,2.03,318,-73.94919,40.82754
400,2,119588,Brooklyn,Entire home/apt,16,0.24,216,-73.97925,40.66499
170,7,119900,Manhattan,Entire home/apt,13,0.12,224,-73.97556,40.77842
100,4,120223,Manhattan,Entire home/apt,25,0.23,0,-73.98527,40.72245
75,2,65091,Brooklyn,Private room,9,0.08,324,-73.96053,40.65593
90,1,6197784,Brooklyn,Private room,9,0.08,245,-73.96468,40.71923
150,5,124352,Manhattan,Entire home/apt,21,0.19,189,-73.94822,40.778
70,3,35935,Brooklyn,Private room,63,0.58,310,-73.9547,40.68332
120,3,126607,Manhattan,Entire home/apt,155,1.42,213,-73.94894,40.81618
89,3,127608,Brooklyn,Private room,260,2.35,278,-73.96351,40.68414
185,5,125857,Manhattan,Entire home/apt,73,0.66,209,-73.99143,40.72392
50,3,129352,Brooklyn,Private room,193,1.86,0,-73.9503,40.73494
105,3,120335,Manhattan,Entire home/apt,32,0.29,16,-73.98856,40.71341
130,2,117287,Manhattan,Private room,50,0.45,234,-73.98399,40.76754
77,2,137292,Brooklyn,Private room,2,0.02,178,-73.93248,40.63188
76,2,137814,Brooklyn,Private room,426,3.89,275,-73.9634,40.6873
125,3,137974,Brooklyn,Entire home/apt,227,2.09,163,-73.93662,40.68296
135,4,116599,Brooklyn,Private room,84,0.77,365,-73.96765,40.6863
199,3,139612,Brooklyn,Entire home/apt,10,0.1,280,-73.94835,40.71561
140,2,139874,Brooklyn,Entire home/apt,4,0.04,0,-73.99183,40.6857
140,2,140025,Queens,Private room,1,0.01,1,-73.83168,40.74028
115,3,137974,Brooklyn,Entire home/apt,124,1.72,170,-73.93524,40.68281
160,3,142833,Brooklyn,Entire home/apt,11,0.11,188,-73.93938,40.71596
195,4,143027,Brooklyn,Entire home/apt,240,2.19,214,-73.95935,40.71492
195,3,143048,Manhattan,Entire home/apt,30,0.28,248,-73.98295,40.72354
80,3,72014,Brooklyn,Private room,200,1.86,262,-73.96087,40.71165
44,8,149929,Brooklyn,Private room,27,1.05,280,-73.97312,40.69101
156,4,120291,Manhattan,Private room,79,0.74,307,-74.00101,40.73474
125,3,142684,Brooklyn,Private room,155,1.61,1,-73.96057,40.71536
69,2,157798,Manhattan,Private room,34,0.32,10,-73.93997,40.79295
125,6,159370,Brooklyn,Entire home/apt,27,0.25,189,-73.96398,40.71363
219,4,92788,Manhattan,Entire home/apt,126,1.16,290,-73.9527,40.77711
475,3,165789,Brooklyn,Entire home/apt,23,0.27,230,-73.98094,40.68559
99,1,168417,Manhattan,Entire home/apt,234,2.6,164,-73.95323,40.77456
69,4,168525,Brooklyn,Private room,202,1.86,53,-73.95055,40.71088
135,2,170510,Brooklyn,Entire home/apt,309,2.86,3,-73.94659,40.68306
250,3,171851,Brooklyn,Private room,14,0.13,189,-73.98571,40.70207
250,3,174025,Manhattan,Entire home/apt,4,0.08,365,-73.9642,40.76123
250,2,180083,Brooklyn,Entire home/apt,80,2.17,0,-73.99083,40.66858
80,3,181167,Manhattan,Entire home/apt,2,0.04,0,-73.94907,40.82704
70,2,137814,Brooklyn,Private room,294,3.47,336,-73.96408,40.68843
165,2,11481,Brooklyn,Entire home/apt,150,1.4,342,-74.00135,40.6783
70,2,185978,Staten Island,Private room,166,1.66,312,-74.08088,40.64524
50,2,177536,Brooklyn,Private room,47,0.94,37,-73.91765,40.70641
40,1,190409,Bronx,Private room,219,2.04,353,-73.93184,40.83232
150,2,193360,Brooklyn,Entire home/apt,193,1.78,177,-73.9677,40.71045
125,1,72062,Manhattan,Private room,84,0.78,310,-73.98034,40.72518
196,3,193722,Manhattan,Entire home/apt,114,1.06,0,-74.01374,40.70666
110,2,181376,Brooklyn,Private room,213,2.0,321,-73.97113,40.69098
170,3,193637,Manhattan,Entire home/apt,86,0.8,246,-74.00405,40.73756
165,3,126607,Manhattan,Entire home/apt,80,0.75,231,-73.94791,40.81526
100,2,202249,Manhattan,Entire home/apt,18,1.79,0,-73.9373,40.82374
65,2,67778,Brooklyn,Private room,206,1.92,0,-73.97691,40.68863
350,8,204539,Queens,Entire home/apt,10,0.11,365,-73.89797,40.70382
99,4,867225,Manhattan,Private room,122,1.18,233,-73.95924,40.80549
200,4,204724,Brooklyn,Entire home/apt,33,0.58,1,-73.9587,40.71627
150,5,8198,Brooklyn,Entire home/apt,52,0.5,18,-73.97863,40.67994
90,3,209460,Brooklyn,Private room,126,1.17,343,-73.9475,40.67992
120,3,210746,Brooklyn,Private room,51,0.48,250,-73.97307,40.67868
75,3,212722,Manhattan,Private room,199,1.85,326,-73.95334,40.76834
125,3,214287,Manhattan,Entire home/apt,3,0.03,0,-73.99999,40.74031
275,1,218404,Manhattan,Entire home/apt,41,0.38,299,-73.99665,40.76307
299,2,221873,Manhattan,Entire home/apt,109,1.04,207,-73.98852,40.71882
135,5,9744,Brooklyn,Entire home/apt,151,1.43,162,-73.98804,40.6693
83,1,236655,Manhattan,Private room,285,2.69,7,-73.99201,40.72319
123,1,237329,Manhattan,Private room,375,3.52,328,-73.99671,40.74859
55,2,27848,Queens,Private room,52,0.49,365,-73.76597,40.67252
195,5,240360,Manhattan,Entire home/apt,10,1.01,0,-73.99271,40.76244
80,2,247432,Brooklyn,Private room,11,0.48,0,-73.93503,40.69546
140,7,204539,Queens,Private room,6,0.06,365,-73.89816,40.70234
265,7,204539,Queens,Entire home/apt,38,0.38,365,-73.87854,40.71546
249,2,10889,Brooklyn,Entire home/apt,358,3.44,164,-73.95976,40.7195
105,6,255583,Manhattan,Shared room,10,0.09,363,-73.98474,40.76548
100,2,210746,Brooklyn,Private room,226,2.12,250,-73.97262,40.6787
121,1,256161,Manhattan,Entire home/apt,104,1.0,247,-73.94598,40.81035
45,1,190409,Bronx,Private room,138,1.45,323,-73.93058,40.83075
100,5,258164,Manhattan,Private room,204,1.92,192,-73.94275,40.79958
140,2,260709,Brooklyn,Entire home/apt,253,3.04,125,-73.93845,40.71625
71,2,262138,Brooklyn,Private room,23,0.22,91,-73.93549,40.6829
130,2,88209,Manhattan,Private room,115,1.17,75,-73.99134,40.72773
199,5,263414,Manhattan,Entire home/apt,129,1.22,286,-74.0049,40.72861
69,4,168525,Brooklyn,Private room,82,1.13,60,-73.95162,40.70979
68,3,264928,Brooklyn,Private room,37,0.35,0,-73.97525,40.68656
130,1,267593,Manhattan,Entire home/apt,204,2.04,192,-73.98432,40.72752
195,2,268014,Brooklyn,Entire home/apt,69,0.65,58,-73.95829,40.729
64,1,256161,Manhattan,Private room,192,1.84,245,-73.94499,40.81219
140,2,272006,Queens,Entire home/apt,17,0.16,292,-73.90502,40.77185
159,2,199392,Brooklyn,Entire home/apt,222,2.12,279,-73.99386,40.68926
189,3,239208,Manhattan,Entire home/apt,205,1.96,0,-73.98701,40.72821
250,3,274557,Manhattan,Entire home/apt,94,0.96,3,-73.98508,40.7672
239,3,275459,Manhattan,Entire home/apt,7,0.07,351,-73.99053,40.73012
305,2,275578,Manhattan,Entire home/apt,108,1.09,201,-73.98498,40.7403
155,3,276291,Manhattan,Entire home/apt,222,2.1,232,-73.94343,40.80931
60,1,277379,Manhattan,Private room,458,4.58,258,-73.94287,40.8251
135,2,277394,Brooklyn,Private room,21,0.26,272,-73.98397,40.6585
120,7,279797,Manhattan,Private room,17,0.3,341,-73.9501,40.76193
150,3,282927,Manhattan,Entire home/apt,41,0.39,244,-73.98589,40.72052
135,2,274782,Brooklyn,Entire home/apt,69,0.67,12,-73.95967,40.73401
250,4,186084,Manhattan,Entire home/apt,18,0.18,265,-73.99503,40.71756
500,4,289653,Manhattan,Entire home/apt,94,0.99,329,-74.00262,40.72003
225,5,99212,Manhattan,Entire home/apt,10,0.1,91,-73.99474,40.73194
92,1,256161,Manhattan,Private room,189,1.82,253,-73.94434,40.8118
175,2,249372,Manhattan,Private room,1,0.11,365,-73.94707,40.81583
99,2,292630,Manhattan,Entire home/apt,127,1.22,320,-73.98049,40.72654
195,4,293394,Manhattan,Entire home/apt,4,0.04,0,-73.96071,40.80021
140,3,126607,Manhattan,Entire home/apt,135,1.3,192,-73.93936,40.80942
135,2,295760,Manhattan,Entire home/apt,21,0.2,0,-73.9954,40.71961
500,2,291112,Manhattan,Entire home/apt,35,0.34,348,-74.00027,40.74358
