price,room_type,neighbourhood_group,average_price,average_minimum_nights,total_number_of_reviews,average_reviews_per_month
10,Entire home/apt,Brooklyn,10.0,1.6666666666666667,112,2.1
10,Entire home/apt,Manhattan,10.0,3.0,10,0.39
10,Entire home/apt,Queens,10.0,1.5,65,1.72
10,Private room,Brooklyn,10.0,1.0,2,2.0
10,Private room,Manhattan,10.0,3.6666666666666665,46,1.0233333333333334
10,Private room,Queens,10.0,7.0,4,0.41
10,Shared room,Manhattan,10.0,1.0,2,0.08
11,Entire home/apt,Brooklyn,11.0,2.0,113,3.86
12,Private room,Manhattan,12.0,3.0,8,0.59
13,Shared room,Staten Island,13.0,1.0,9,5.51
15,Private room,Brooklyn,15.0,1.0,2,0.07
15,Shared room,Queens,15.0,1.0,19,1.71
16,Entire home/apt,Manhattan,16.0,2.5,24,0.9249999999999999
16,Private room,Manhattan,16.0,2.0,43,1.66
16,Shared room,Queens,16.0,1.0,10,1.36
19,Shared room,Brooklyn,19.0,2.0,76,2.4
19,Shared room,Queens,19.0,1.0,41,2.09
20,Entire home/apt,Brooklyn,20.0,4.0,17,0.58
20,Entire home/apt,Queens,20.0,1.0,111,13.11
20,Private room,Brooklyn,20.0,1.6666666666666667,24,0.8833333333333333
20,Private room,Manhattan,20.0,1.0,21,1.1
20,Private room,Staten Island,20.0,3.0,80,0.92
20,Shared room,Bronx,20.0,1.0,125,2.31
20,Shared room,Brooklyn,20.0,3.75,9,0.835
20,Shared room,Queens,20.0,3.0,3,0.07
20,Shared room,Staten Island,20.0,4.0,1,0.06
21,Private room,Bronx,21.0,1.0,9,0.7
21,Private room,Brooklyn,21.0,3.0,6,0.585
21,Shared room,Brooklyn,21.0,1.0,35,2.92
21,Shared room,Queens,21.0,1.0,32,1.095
22,Entire home/apt,Brooklyn,22.0,2.0,35,1.83
22,Private room,Bronx,22.0,3.0,14,0.39
22,Private room,Brooklyn,22.0,5.0,7,0.19
22,Private room,Manhattan,22.0,1.0,13,0.28
22,Private room,Queens,22.0,1.0,59,2.1
22,Private room,Staten Island,22.0,1.0,21,1.77
22,Shared room,Bronx,22.0,1.0,1,0.83
22,Shared room,Brooklyn,22.0,2.3333333333333335,26,0.7066666666666667
22,Shared room,Queens,22.0,1.0,14,0.34
23,Private room,Bronx,23.0,2.0,18,1.25
23,Private room,Brooklyn,23.0,3.0,2,0.11
23,Shared room,Brooklyn,23.0,1.0,57,3.27
23,Shared room,Queens,23.0,1.0,21,1.445
24,Private room,Bronx,24.0,1.5,6,0.6000000000000001
